,regions,global_employees,region_employees,obj_value,gap,elapsed_time,status,hiring_costs,outsourcing_costs,exec_time,n_variables,n_constraints,n_nonzeroes,city,demand_baseline,week_demand_type,weekend_demand_type,outsourcing_cost_multiplier,model,regional_multiplier,global_multiplier
0,"[0, 1, 2, 3]",39,"{0: 10, 1: 10, 2: 9, 3: 10}",15628.0,9.481731568591552e-05,18.506885051727295,2,936.0000000005375,14691.966675586536,18.583192110061646,228600,102084,970206,berlin,2.00,doublepeak,uniform,1.5,fixed,1.5,0.8
1,"[0, 1, 2, 3]",58,"{0: 15, 1: 14, 2: 14, 3: 15}",13775.2,8.58703918000098e-05,63.78303289413452,2,1392.0,12383.183336017617,63.876363039016724,291680,103528,1398066,berlin,2.00,doublepeak,uniform,1.5,fixed,1.5,0.8
2,"[0, 1, 2, 3]",77,"{0: 20, 1: 19, 2: 19, 3: 19}",12145.9,0.0001974824465195481,120.12606477737427,9,1847.9999999994561,10297.94583304848,120.23960709571838,354760,104972,1812872,berlin,2.00,doublepeak,uniform,1.5,fixed,1.5,0.8
3,"[0, 1, 2, 3]",97,"{0: 25, 1: 24, 2: 24, 3: 24}",10682.0,0.0007827166020402944,120.16622400283813,9,2328.0,8353.991666664779,120.30672264099121,421160,106492,2259677,berlin,2.00,doublepeak,uniform,1.5,fixed,1.5,0.8
4,"[0, 1, 2, 3]",116,"{0: 30, 1: 29, 2: 28, 3: 29}",9531.8,0.010211293616539824,120.14354586601257,9,2784.0000000005593,6747.791675473475,120.30309820175171,484240,107936,2683958,berlin,2.00,doublepeak,uniform,1.5,fixed,1.5,0.8
5,"[0, 1, 2, 3]",136,"{0: 35, 1: 34, 2: 33, 3: 34}",8590.7,0.06736165554694129,120.17239904403687,9,3264.0,5326.675000000003,120.36637806892395,550640,109456,3130763,berlin,2.00,doublepeak,uniform,1.5,fixed,1.5,0.8
6,"[0, 1, 2, 3]",194,"{0: 50, 1: 48, 2: 47, 3: 49}",8906.1,0.3432943262349863,120.22803997993469,9,4656.0,4250.091666666816,120.48956632614136,743200,113864,4429709,berlin,2.00,doublepeak,uniform,1.5,fixed,1.5,0.8
7,"[0, 1, 2, 3]",232,"{0: 60, 1: 58, 2: 56, 3: 58}",24838.4,0.7597599214656239,1026.9849410057068,9,5568.0,19270.39999999316,1027.2557001113892,869360,116752,5268796,berlin,2.00,doublepeak,uniform,1.5,fixed,1.5,0.8
