,regions,global_employees,region_employees,obj_value,gap,elapsed_time,status,hiring_costs,outsourcing_costs,exec_time,n_variables,n_constraints,n_nonzeroes,city,demand_baseline,week_demand_type,weekend_demand_type,outsourcing_cost_multiplier,model,regional_multiplier,global_multiplier
0,"[0, 1, 2, 3]",39,"{0: 10, 1: 10, 2: 9, 3: 10}",6726.8,9.043405922247696e-05,13.898890972137451,2,936.0000000000002,5790.816666670146,13.96836519241333,228912,102065,865971,berlin,1.00,doublepeak,uniform,1.8,flex,1.5,0.8
1,"[0, 1, 2, 3]",58,"{0: 15, 1: 14, 2: 14, 3: 15}",5789.3,7.369869678738465e-05,18.48701786994934,2,1392.0,4397.341666669418,18.57749605178833,292144,103500,1242032,berlin,1.00,doublepeak,uniform,1.8,flex,1.5,0.8
2,"[0, 1, 2, 3]",62,"{0: 16, 1: 15, 2: 15, 3: 16}",5648.3,6.196739772700573e-05,32.19096493721008,2,1488.0,4160.258340803778,32.28149390220642,305456,103802,1320692,berlin,1.00,doublepeak,uniform,1.8,flex,1.5,0.8
3,"[0, 1, 2, 3]",66,"{0: 17, 1: 16, 2: 16, 3: 17}",5525.6,6.13028575220811e-05,58.53850507736206,2,1584.0,3941.5750045985105,58.63918471336365,318768,104104,1399352,berlin,1.00,doublepeak,uniform,1.8,flex,1.5,0.8
4,"[0, 1, 2, 3]",77,"{0: 20, 1: 19, 2: 19, 3: 19}",5308.3,1.8838503568999428e-05,29.201327085494995,2,1848.0,3460.2833333353765,29.311884880065918,355376,104935,1608566,berlin,1.00,doublepeak,uniform,1.8,flex,1.5,0.8
5,"[0, 1, 2, 3]",97,"{0: 25, 1: 24, 2: 24, 3: 24}",5234.1,0.00038847873986190947,120.11597681045532,9,2328.0,2906.0916666683397,120.24482417106628,421936,106445,2001866,berlin,1.00,doublepeak,uniform,1.8,flex,1.5,0.8
6,"[0, 1, 2, 3]",116,"{0: 30, 1: 29, 2: 28, 3: 29}",5437.1,0.0004103775725203344,120.14437317848206,9,2784.0,2653.06666666823,120.30264210700989,485168,107880,2375417,berlin,1.00,doublepeak,uniform,1.8,flex,1.5,0.8
7,"[0, 1, 2, 3]",136,"{0: 35, 1: 34, 2: 33, 3: 34}",5839.2,0.0012901237037378673,120.17015504837036,9,3264.0,2575.2333333350034,120.34671688079834,551728,109390,2768717,berlin,1.00,doublepeak,uniform,1.8,flex,1.5,0.8
8,"[0, 1, 2, 3]",194,"{0: 50, 1: 48, 2: 47, 3: 49}",7206.8,2.467217736102453e-13,10.921096801757812,2,4656.0,2550.7500000017817,11.139222860336304,744752,113770,3911629,berlin,1.00,doublepeak,uniform,1.8,flex,1.5,0.8
9,"[0, 1, 2, 3]",271,"{0: 70, 1: 67, 2: 66, 3: 68}",9054.7,0.0,5.919704914093018,2,6504.0,2550.7499999996635,6.223395824432373,1001008,119585,5421075,berlin,1.00,doublepeak,uniform,1.8,flex,1.5,0.8
