,regions,global_employees,region_employees,obj_value,gap,elapsed_time,status,hiring_costs,outsourcing_costs,exec_time,n_variables,n_constraints,n_nonzeroes,city,demand_baseline,week_demand_type,weekend_demand_type,outsourcing_cost_multiplier,model,regional_multiplier,global_multiplier
0,"[0, 1, 2, 3]",39,"{0: 10, 1: 10, 2: 9, 3: 10}",15635.7,5.8899884732044225e-05,17.375229120254517,2,936.0,14699.704166663254,17.447290897369385,228600,102075,969810,berlin,2.00,doublepeak,uniform,1.5,flex,1.5,0.8
1,"[0, 1, 2, 3]",58,"{0: 15, 1: 14, 2: 14, 3: 15}",13805.2,9.477128104360102e-05,62.8649959564209,2,1392.0,12413.166666663346,62.9578070640564,291680,103514,1397450,berlin,2.00,doublepeak,uniform,1.5,flex,1.5,0.8
2,"[0, 1, 2, 3]",77,"{0: 20, 1: 19, 2: 19, 3: 19}",12220.7,0.00010393371768637072,120.10281991958618,9,1848.0,10372.662499997294,120.20936012268066,354760,104953,1812036,berlin,2.00,doublepeak,uniform,1.5,flex,1.5,0.8
3,"[0, 1, 2, 3]",97,"{0: 25, 1: 24, 2: 24, 3: 24}",10837.3,0.0006617740734284957,120.12688398361206,9,2327.9999999964484,8509.291666586778,120.25910711288452,421160,106468,2258621,berlin,2.00,doublepeak,uniform,1.5,flex,1.5,0.8
4,"[0, 1, 2, 3]",116,"{0: 30, 1: 29, 2: 28, 3: 29}",9806.7,0.0009753694050622846,120.12695598602295,9,2784.0,7022.683333332885,120.29602098464966,484240,107908,2682726,berlin,2.00,doublepeak,uniform,1.5,flex,1.5,0.8
5,"[0, 1, 2, 3]",136,"{0: 35, 1: 34, 2: 33, 3: 34}",9087.5,0.07917597132501912,251.16877794265747,9,3264.0,5823.508333333355,251.33810114860535,550640,109423,3129311,berlin,2.00,doublepeak,uniform,1.5,flex,1.5,0.8
6,"[0, 1, 2, 3]",194,"{0: 50, 1: 48, 2: 47, 3: 49}",9809.0,0.2487584914217221,120.20921897888184,9,4656.0,5152.961666666322,120.46544098854065,743200,113817,4427641,berlin,2.00,doublepeak,uniform,1.5,flex,1.5,0.8
7,"[0, 1, 2, 3]",232,"{0: 60, 1: 58, 2: 56, 3: 58}",8344.1,0.09096689331142492,120.24017786979675,9,5567.999999999866,2776.1200078667543,120.53284692764282,869360,116696,5266332,berlin,2.00,doublepeak,uniform,1.5,flex,1.5,0.8
