,regions,global_employees,region_employees,obj_value,gap,elapsed_time,status,hiring_costs,outsourcing_costs,exec_time,n_variables,n_constraints,n_nonzeroes,city,demand_baseline,week_demand_type,weekend_demand_type,outsourcing_cost_multiplier,model,regional_multiplier,global_multiplier
0,"[0, 1, 2, 3]",39,"{0: 10, 1: 10, 2: 9, 3: 10}",6672.7,6.61901998988161e-05,17.91167402267456,2,936.0,5736.691666670289,17.984090089797974,228912,102075,866411,berlin,1.00,doublepeak,uniform,1.2,flex,1.5,0.8
1,"[0, 1, 2, 3]",58,"{0: 15, 1: 14, 2: 14, 3: 15}",5707.7,8.541244779519781e-05,62.55314588546753,2,1392.0,4315.6500000029,62.64605498313904,292144,103515,1242692,berlin,1.00,doublepeak,uniform,1.2,flex,1.5,0.8
2,"[0, 1, 2, 3]",62,"{0: 16, 1: 15, 2: 15, 3: 16}",5564.3,8.985835530431526e-05,22.515926122665405,2,1488.0000006624475,4076.2999981213816,22.622498035430908,305456,103818,1321396,berlin,1.00,doublepeak,uniform,1.2,flex,1.5,0.8
3,"[0, 1, 2, 3]",66,"{0: 17, 1: 16, 2: 16, 3: 17}",5438.1,7.049095463205987e-05,28.754076957702637,2,1584.0,3854.050000002522,28.851121187210083,318768,104121,1400100,berlin,1.00,doublepeak,uniform,1.2,flex,1.5,0.8
4,"[0, 1, 2, 3]",77,"{0: 20, 1: 19, 2: 19, 3: 19}",5209.0,6.239191443495516e-05,49.380533933639526,2,1848.0,3361.008333335584,49.49114918708801,355376,104954,1609402,berlin,1.00,doublepeak,uniform,1.2,flex,1.5,0.8
5,"[0, 1, 2, 3]",97,"{0: 25, 1: 24, 2: 24, 3: 24}",5074.1,0.0001699794878563711,499.72284483909607,9,2328.0,2746.1416666685054,499.8612310886383,421936,106469,2002922,berlin,1.00,doublepeak,uniform,1.2,flex,1.5,0.8
6,"[0, 1, 2, 3]",116,"{0: 30, 1: 29, 2: 28, 3: 29}",5184.8,0.00028689631261843773,265.35577511787415,9,2784.0,2400.8000000016773,265.51570296287537,485168,107909,2376693,berlin,1.00,doublepeak,uniform,1.2,flex,1.5,0.8
7,"[0, 1, 2, 3]",136,"{0: 35, 1: 34, 2: 33, 3: 34}",5472.3,0.0002763907482594973,120.39650201797485,9,3264.0,2208.325000001477,120.56990480422974,551728,109424,2770213,berlin,1.00,doublepeak,uniform,1.2,flex,1.5,0.8
8,"[0, 1, 2, 3]",194,"{0: 50, 1: 48, 2: 47, 3: 49}",6734.1,0.002848682020727387,120.19388794898987,9,4656.0,2078.1083333348006,120.41714477539062,744752,113819,3913785,berlin,1.00,doublepeak,uniform,1.2,flex,1.5,0.8
9,"[0, 1, 2, 3]",271,"{0: 70, 1: 67, 2: 66, 3: 68}",8563.8,9.516775519084687e-05,21.511969089508057,2,6504.0,2059.8250000011103,22.13848614692688,1001008,119653,5424067,berlin,1.00,doublepeak,uniform,1.2,flex,1.5,0.8
